ID, Epoch,Training_loss_Arthropod,Training_loss_Debris,Training_loss_mean,Training_acc_Arthropod,Training_acc_Debris,Training_acc_mean,Validation_loss_Arthropod,Validation_loss_Debris,Validation_loss_mean,Validation_acc_Arthropod,Validation_acc_Debris,Validation_acc_mean,
1007-06-11-29,0,0.46384379267692566,0.5504201650619507,0.5071185231208801,0.857708752155304,0.7069157958030701,0.7823440432548523,0.4001881778240204,0.4419640302658081,0.4051913321018219,0.8500181436538696,0.7968337535858154,0.8436050415039062,
1007-06-11-29,1,0.3911879062652588,0.40788188576698303,0.39947327971458435,0.8475645184516907,0.8135932683944702,0.8306660652160645,0.37172815203666687,0.39581865072250366,0.37485000491142273,0.8571601510047913,0.8056288361549377,0.8508909344673157,
1007-06-11-29,2,0.37102049589157104,0.37442928552627563,0.37281376123428345,0.854795515537262,0.820995569229126,0.8379037380218506,0.36744996905326843,0.3664485216140747,0.3673137426376343,0.8559496402740479,0.8161829113960266,0.8511034846305847,
1007-06-11-29,3,0.360274076461792,0.35296472907066345,0.3566051125526428,0.8581205606460571,0.8361239433288574,0.847103476524353,0.34797483682632446,0.36562973260879517,0.3501461446285248,0.8656336665153503,0.8179419040679932,0.859916090965271,
1007-06-11-29,4,0.3519143760204315,0.3420204818248749,0.34704339504241943,0.860075056552887,0.8404402136802673,0.8502163887023926,0.3415488600730896,0.35757213830947876,0.34346193075180054,0.8685389161109924,0.8232190012931824,0.8630566000938416,
1007-06-11-29,5,0.3471309542655945,0.33374103903770447,0.34045225381851196,0.8605197668075562,0.8460784554481506,0.8532603979110718,0.3501516580581665,0.33622774481773376,0.34837332367897034,0.8634547591209412,0.8408091068267822,0.8607664704322815,
1007-06-11-29,6,0.34600120782852173,0.3267210125923157,0.3363395929336548,0.8611524701118469,0.8519060611724854,0.8565437197685242,0.32947593927383423,0.3473634719848633,0.3316076695919037,0.8701125383377075,0.8355320692062378,0.8659264445304871,
1007-06-11-29,7,0.340820848941803,0.32307472825050354,0.3319402039051056,0.8616061806678772,0.8550624847412109,0.8582882285118103,0.32724514603614807,0.34106022119522095,0.3289591073989868,0.8713230490684509,0.8372911214828491,0.8672019839286804,
1007-06-11-29,8,0.33312010765075684,0.3195168375968933,0.326318621635437,0.8646990060806274,0.8571809530258179,0.8609586358070374,0.3351069986820221,0.3255305290222168,0.33405613899230957,0.8669652342796326,0.8469656705856323,0.864544689655304,
1007-06-11-29,9,0.3289153575897217,0.3102726936340332,0.3196210563182831,0.8653544187545776,0.8630268573760986,0.864177942276001,0.3326024115085602,0.3215149939060211,0.3311626613140106,0.867328405380249,0.8504837155342102,0.8653370141983032,
1007-06-11-29,10,0.3341105580329895,0.30943137407302856,0.3217008411884308,0.8615947365760803,0.8649120926856995,0.863272488117218,0.3230799734592438,0.3258340656757355,0.32338380813598633,0.8702335953712463,0.8496041893959045,0.8677334189414978,
1007-06-11-29,11,0.3123875856399536,0.3020247519016266,0.30724596977233887,0.8717995882034302,0.8695933222770691,0.8707192540168762,0.32262882590293884,0.31068408489227295,0.3211791217327118,0.8697494268417358,0.8627967834472656,0.8688543438911438,
1007-06-11-29,12,0.3131774961948395,0.29314351081848145,0.3031060993671417,0.870478093624115,0.8767476081848145,0.8736315369606018,0.3210756778717041,0.2905142307281494,0.3174426853656769,0.8685389161109924,0.8795074820518494,0.8697627186775208,
