ID, Epoch,Training_loss_SWD_male,Training_loss_SWD_parasitoid,Training_loss_Small_black_weevil,Training_loss_Unidentified_Arthropod,Training_loss_mean,Training_acc_SWD_male,Training_acc_SWD_parasitoid,Training_acc_Small_black_weevil,Training_acc_Unidentified_Arthropod,Training_acc_mean,Validation_loss_SWD_male,Validation_loss_SWD_parasitoid,Validation_loss_Small_black_weevil,Validation_loss_Unidentified_Arthropod,Validation_loss_mean,Validation_acc_SWD_male,Validation_acc_SWD_parasitoid,Validation_acc_Small_black_weevil,Validation_acc_Unidentified_Arthropod,Validation_acc_mean,
1107-07-05-08,0,0.6845756769180298,0.8160210251808167,0.6248371601104736,1.2135789394378662,0.8352895975112915,0.9041658639907837,0.8118563294410706,0.9142184853553772,0.40587282180786133,0.7584401965141296,0.33716467022895813,0.5128084421157837,0.3261043429374695,0.9974452257156372,0.9880659580230713,1.0,0.9193547964096069,0.9571428894996643,0.5990641713142395,0.6042229533195496,
1107-07-05-08,1,0.3141283392906189,0.4000154435634613,0.2483065128326416,0.838902473449707,0.4508987367153168,0.9333980083465576,0.9352908730506897,0.9780380129814148,0.670913577079773,0.8792806267738342,0.18423336744308472,0.3785252571105957,0.21099872887134552,0.7694579362869263,0.7613277435302734,1.0,0.9193547964096069,0.9571428894996643,0.6915404796600342,0.6961390376091003,
1107-07-05-08,2,0.22231177985668182,0.2967759072780609,0.17989689111709595,0.69563889503479,0.34864339232444763,0.9413468241691589,0.9348915815353394,0.9761614799499512,0.7178943753242493,0.892621636390686,0.13292717933654785,0.33843058347702026,0.17511962354183197,0.6670223474502563,0.6591303944587708,1.0,0.9193547964096069,0.9571428894996643,0.7274966239929199,0.732022225856781,
1107-07-05-08,3,0.1802798956632614,0.2580409646034241,0.1569059044122696,0.6210557818412781,0.303930401802063,0.955721378326416,0.9318756461143494,0.9745234847068787,0.7435866594314575,0.9015004634857178,0.10961657762527466,0.31993621587753296,0.15805217623710632,0.6042944192886353,0.6002659797668457,1.0,0.9193547964096069,0.9571428894996643,0.749168872833252,0.7519546747207642,
1107-07-05-08,4,0.15464942157268524,0.230899840593338,0.1364748179912567,0.5597712397575378,0.27021658420562744,0.9674811363220215,0.9397964477539062,0.9748974442481995,0.7705017328262329,0.9132532477378845,0.09597524255514145,0.3215315639972687,0.1519766002893448,0.5443041324615479,0.5384734869003296,1.0,0.9193547964096069,0.9571428894996643,0.7739195227622986,0.7768580913543701,
1107-07-05-08,5,0.13238750398159027,0.2108764946460724,0.1311473399400711,0.5163161158561707,0.24771015346050262,0.972121000289917,0.9441283941268921,0.9727621674537659,0.789543867111206,0.9196363687515259,0.07869482785463333,0.29177212715148926,0.14412951469421387,0.5417773127555847,0.5355164408683777,1.0,0.9193547964096069,0.9571428894996643,0.7744120359420776,0.7773407697677612,
1107-07-05-08,6,0.11234606802463531,0.20216989517211914,0.1294899880886078,0.4962818920612335,0.23527026176452637,0.9812931418418884,0.9407767057418823,0.9687272906303406,0.7940661907196045,0.9211035966873169,0.08014000952243805,0.29593488574028015,0.13694970309734344,0.49434441328048706,0.4893206059932709,1.0,0.9193547964096069,0.9571428894996643,0.7942371964454651,0.7967664003372192,
1107-07-05-08,7,0.09977979212999344,0.1951896995306015,0.11845028400421143,0.4551679491996765,0.21781298518180847,0.9883713126182556,0.9440733790397644,0.9726572036743164,0.8113977313041687,0.9287723898887634,0.07091332972049713,0.28814828395843506,0.12660232186317444,0.4847874939441681,0.48130711913108826,1.0,0.9193547964096069,0.9571428894996643,0.7995321154594421,0.8013030886650085,
1107-07-05-08,8,0.08826019614934921,0.18835024535655975,0.11384625732898712,0.4359422028064728,0.20679529011249542,0.990800142288208,0.944220244884491,0.970604419708252,0.8178853988647461,0.9307841062545776,0.06825658679008484,0.2761226296424866,0.1297006905078888,0.46329256892204285,0.4582158327102661,1.0,0.9193547964096069,0.9571428894996643,0.8104913830757141,0.8126930594444275,
1107-07-05-08,9,0.07929525524377823,0.183027446269989,0.11373169720172882,0.4248460829257965,0.20001938939094543,0.9938598275184631,0.9438334107398987,0.9711469411849976,0.8288043141365051,0.9344899654388428,0.06298828125,0.2874053716659546,0.12417520582675934,0.4366728365421295,0.4330151677131653,1.0,0.9193547964096069,0.9571428894996643,0.8216968774795532,0.8230212330818176,
1107-07-05-08,10,0.07131327688694,0.17223285138607025,0.10824445635080338,0.404653936624527,0.18873445689678192,0.996918797492981,0.9485414028167725,0.969440221786499,0.8375387787818909,0.938286542892456,0.06903800368309021,0.2856331169605255,0.11839974671602249,0.4110455811023712,0.4070897102355957,1.0,0.9193547964096069,0.9714285731315613,0.8349957466125488,0.836824357509613,
1107-07-05-08,11,0.058568160980939865,0.15861302614212036,0.09504307061433792,0.377150297164917,0.1719752997159958,0.9983651041984558,0.9503218531608582,0.9737364053726196,0.8509203791618347,0.9434898495674133,0.06202653795480728,0.26588547229766846,0.10702544450759888,0.38501468300819397,0.3803868293762207,1.0,0.9193547964096069,0.9714285731315613,0.8497722148895264,0.8519546389579773,
1107-07-05-08,12,0.04289157688617706,0.13869144022464752,0.08456066995859146,0.33816778659820557,0.1514267474412918,0.9993305802345276,0.9557302594184875,0.9783070087432861,0.8693637251853943,0.9505233764648438,0.06377458572387695,0.27663254737854004,0.10076500475406647,0.32464754581451416,0.3212265074253082,1.0,0.9193547964096069,0.9571428894996643,0.8751385807991028,0.8766891956329346,
1107-07-05-08,13,0.03317216783761978,0.12268912047147751,0.07830914855003357,0.30256378650665283,0.13426174223423004,0.9997592568397522,0.9637043476104736,0.9781782627105713,0.8809006810188293,0.9556056261062622,0.0558365136384964,0.2769576609134674,0.09859856963157654,0.28268998861312866,0.28025877475738525,1.0,0.9193547964096069,0.9571428894996643,0.8917621374130249,0.892977774143219,
1107-07-05-08,14,0.023785710334777832,0.10985863208770752,0.06710371375083923,0.27271372079849243,0.11825402081012726,1.0,0.9688307046890259,0.9834060668945312,0.8935950994491577,0.9615046977996826,0.054026827216148376,0.268841415643692,0.09428593516349792,0.2598516047000885,0.2596021592617035,1.0,0.9193547964096069,0.9571428894996643,0.9001355171203613,0.8998793959617615,
1107-07-05-08,15,0.01845397986471653,0.09853757917881012,0.06033605337142944,0.24351318180561066,0.1058184877038002,1.0,0.9723103046417236,0.9841279983520508,0.9045714735984802,0.9649836421012878,0.049583662301301956,0.2803032696247101,0.09453445672988892,0.22907185554504395,0.22781111299991608,1.0,0.9193547964096069,0.9571428894996643,0.9094939231872559,0.9103522896766663,
1107-07-05-08,16,0.014795885421335697,0.08800507336854935,0.05315084755420685,0.2268795669078827,0.0955124944448471,1.0,0.9763484001159668,0.9876550436019897,0.911152720451355,0.9688558578491211,0.04449046775698662,0.26566049456596375,0.08312972635030746,0.22891968488693237,0.22788932919502258,1.0,0.9193547964096069,0.9571428894996643,0.9107252955436707,0.9115588665008545,
1107-07-05-08,17,0.012603776529431343,0.08097405731678009,0.0498235747218132,0.21551072597503662,0.09002219885587692,1.0,0.9816958904266357,0.9882345795631409,0.9166666865348816,0.9715331792831421,0.04637923464179039,0.2732295095920563,0.09638616442680359,0.20390234887599945,0.2034379541873932,1.0,0.9193547964096069,0.9571428894996643,0.9197143316268921,0.9203668236732483,
1107-07-05-08,18,0.010950417257845402,0.07497268915176392,0.04358277469873428,0.20047657191753387,0.08214684575796127,1.0,0.9845379590988159,0.9914982914924622,0.9213894009590149,0.9744977951049805,0.04073899984359741,0.2763477563858032,0.08091118186712265,0.20287056267261505,0.20159336924552917,1.0,0.9193547964096069,0.9714285731315613,0.9203300476074219,0.9210907220840454,
1107-07-05-08,19,0.009157121181488037,0.06712502986192703,0.042993348091840744,0.1864832043647766,0.07616917043924332,1.0,0.9872561693191528,0.991490364074707,0.9267146587371826,0.9764944314956665,0.044617995619773865,0.27525195479393005,0.08300412446260452,0.1947617083787918,0.19385677576065063,1.0,0.9193547964096069,0.9714285731315613,0.9232853651046753,0.9239864945411682,
1107-07-05-08,20,0.009163984097540379,0.06719940155744553,0.042343154549598694,0.18961693346500397,0.07676924020051956,1.0,0.9873402714729309,0.9920216798782349,0.9247927665710449,0.9761767983436584,0.046812064945697784,0.2825186550617218,0.08304192125797272,0.18966756761074066,0.18885622918605804,1.0,0.9193547964096069,0.9714285731315613,0.925378680229187,0.9260376691818237,
1107-07-05-08,21,0.009173926897346973,0.06570994853973389,0.04156748205423355,0.1797429919242859,0.07409422844648361,1.0,0.9881638884544373,0.9925615191459656,0.9308786392211914,0.9778557419776917,0.0465126596391201,0.2857118844985962,0.08357368409633636,0.1873265653848648,0.18695850670337677,1.0,0.9193547964096069,0.9714285731315613,0.9264869093894958,0.926472008228302,
1107-07-05-08,22,0.008878838270902634,0.0638187900185585,0.03849547356367111,0.17805008590221405,0.07237927615642548,1.0,0.9892967343330383,0.9931914806365967,0.932999312877655,0.9788389205932617,0.04742097109556198,0.29307952523231506,0.08321765065193176,0.182694673538208,0.1820078194141388,1.0,0.9193547964096069,0.9714285731315613,0.9280877113342285,0.928692102432251,
1107-07-05-08,23,0.008853498846292496,0.06721661239862442,0.03988424316048622,0.17651718854904175,0.07284582406282425,1.0,0.9873178601264954,0.9922048449516296,0.9293709993362427,0.9773263335227966,0.04563659429550171,0.28977319598197937,0.07930888235569,0.1865696907043457,0.18594859540462494,1.0,0.9193547964096069,0.9714285731315613,0.9264869093894958,0.9271235466003418,
1107-07-05-08,24,0.008428344503045082,0.06527078151702881,0.03978593274950981,0.17305195331573486,0.07167404890060425,1.0,0.9891496896743774,0.9930517673492432,0.9334942698478699,0.9788994193077087,0.044739771634340286,0.28840354084968567,0.07958872616291046,0.18693314492702484,0.18643273413181305,1.0,0.9193547964096069,0.9714285731315613,0.9264869093894958,0.9271235466003418,
1107-07-05-08,25,0.008490890264511108,0.06697287410497665,0.0382213294506073,0.18691475689411163,0.07492951303720474,1.0,0.9881941676139832,0.9934155344963074,0.9284365177154541,0.9776137471199036,0.047011420130729675,0.29187482595443726,0.07996976375579834,0.18368500471115112,0.18305900692939758,1.0,0.9193547964096069,0.9714285731315613,0.9278414249420166,0.9284507632255554,
1107-07-05-08,26,0.008622776716947556,0.0665704607963562,0.039445117115974426,0.18180283904075623,0.07389330863952637,1.0,0.988581120967865,0.9914860129356384,0.930202841758728,0.9776440262794495,0.04703604057431221,0.29468828439712524,0.08008711040019989,0.18174110352993011,0.18195514380931854,1.0,0.9193547964096069,0.9714285731315613,0.9284571409225464,0.9284025430679321,
1107-07-05-08,27,0.008521940559148788,0.06660786271095276,0.038565102964639664,0.18248669803142548,0.07369479537010193,1.0,0.9890837669372559,0.993453860282898,0.9280199408531189,0.9777498841285706,0.047686055302619934,0.29416507482528687,0.08047377318143845,0.18141748011112213,0.1808670312166214,1.0,0.9193547964096069,0.9714285731315613,0.9289496541023254,0.9295367002487183,
1107-07-05-08,28,0.008299170061945915,0.06547406315803528,0.03819979727268219,0.17498371005058289,0.07173243910074234,1.0,0.9890123009681702,0.9932889938354492,0.9312700033187866,0.9783851504325867,0.04810212925076485,0.2978416383266449,0.08124109357595444,0.17847302556037903,0.1781989187002182,1.0,0.9193547964096069,0.9714285731315613,0.9294422268867493,0.9300193190574646,
1107-07-05-08,29,0.008414952084422112,0.06381894648075104,0.03865201026201248,0.18109078705310822,0.07300639152526855,1.0,0.9905916452407837,0.9932345747947693,0.9299794435501099,0.9784456491470337,0.048491913825273514,0.2980641722679138,0.0827641561627388,0.17695750296115875,0.1778499335050583,1.0,0.9193547964096069,0.9714285731315613,0.9301810264587402,0.9300917387008667,
1107-07-05-08,30,0.008415210992097855,0.06485560536384583,0.038589321076869965,0.1711735874414444,0.07073613256216049,1.0,0.9894944429397583,0.9937000274658203,0.9328063130378723,0.9790506958961487,0.04861919954419136,0.29841408133506775,0.08284731209278107,0.17667120695114136,0.17612136900424957,1.0,0.9193547964096069,0.9714285731315613,0.9301810264587402,0.9307432174682617,
1107-07-05-08,31,0.008349877782166004,0.065949946641922,0.038177650421857834,0.16707007586956024,0.07030077278614044,1.0,0.9888291954994202,0.9928619265556335,0.9340540766716003,0.9787935614585876,0.04877481609582901,0.29835987091064453,0.08305851370096207,0.176518976688385,0.17595182359218597,1.0,0.9193547964096069,0.9714285731315613,0.9303041696548462,0.9308639168739319,
1107-07-05-08,32,0.00859264750033617,0.06520301103591919,0.03857041895389557,0.17340359091758728,0.07152064144611359,1.0,0.9889097213745117,0.9929142594337463,0.9333856105804443,0.9787632822990417,0.04904482513666153,0.2993643581867218,0.08323904126882553,0.17581994831562042,0.1763579100370407,1.0,0.9193547964096069,0.9714285731315613,0.9304273128509521,0.9303330183029175,
1107-07-05-08,33,0.008500620722770691,0.0680382177233696,0.03963353484869003,0.17997072637081146,0.07398012280464172,1.0,0.9892602562904358,0.9919129014015198,0.9315400123596191,0.9782036542892456,0.04911522567272186,0.29986274242401123,0.08333929628133774,0.17544561624526978,0.17510227859020233,1.0,0.9193547964096069,0.9714285731315613,0.9304273128509521,0.9309845566749573,
1107-07-05-08,34,0.008494510315358639,0.06577850133180618,0.03867349028587341,0.17569175362586975,0.07209854573011398,1.0,0.9894922375679016,0.9927488565444946,0.9328887462615967,0.9788087010383606,0.049296312034130096,0.30037033557891846,0.08336193859577179,0.17511284351348877,0.17461757361888885,1.0,0.9193547964096069,0.9714285731315613,0.9305504560470581,0.9311051964759827,
1107-07-05-08,35,0.008538525551557541,0.06676602363586426,0.03894732892513275,0.1744564026594162,0.0718914046883583,1.0,0.9886922836303711,0.9936751127243042,0.9308069348335266,0.9783549308776855,0.04947411268949509,0.3012144863605499,0.0835738480091095,0.17449042201042175,0.17402270436286926,1.0,0.9193547964096069,0.9714285731315613,0.93079674243927,0.9313465356826782,
